code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines
1878523,TRUE,HELSETH Thea,HELSETH T,Thea HELSETH,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878524,TRUE,HELVIG Jan Oscar Stabe,HELVIG JOS,Jan Oscar Stabe HELVIG,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878525,TRUE,BRUN Kristoffer,BRUN K,Kristoffer BRUN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878529,TRUE,JUEL Jonas Slettemark,JUEL JS,Jonas Slettemark JUEL,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878532,TRUE,KAVLIE Inger Seim,KAVLIE IS,Inger Seim KAVLIE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878533,TRUE,SOLBAKKEN Erik Andre,SOLBAKKEN EA,Erik Andre SOLBAKKEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878534,TRUE,BENSKE Lars Martin,BENSKE LM,Lars Martin BENSKE,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878535,TRUE,BORCH Kjetil,BORCH K,Kjetil BORCH,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878536,TRUE,TJOEM Ask Jarl,TJOEM AJ,Ask Jarl TJOEM,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
1878548,TRUE,MAHARANI Maryam March,MAHARANI MM,Maryam March MAHARANI,Female,Athlete,INA,Indonesia,Indonesia,Indonesia,Indonesia,INA,0,0,['Judo']
1878563,TRUE,NADEEM Arshad,NADEEM A,Arshad NADEEM,Male,Athlete,PAK,Pakistan,Pakistan,Pakistan,Pakistan,PAK,190,0,['Athletics']
1878597,TRUE,MOBEKK Mina,MOBEKK M,Mina MOBEKK,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Sailing']
1878599,TRUE,ROENNINGEN Marie,ROENNINGEN M,Marie ROENNINGEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Sailing']
1878600,TRUE,TOMASGAARD Hermann,TOMASGAARD H,Hermann TOMASGAARD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Sailing']
1878602,TRUE,HOEST Line Flem,HOEST LF,Line Flem HOEST,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Sailing']
1878609,TRUE,NAESS Helene,NAESS H,Helene NAESS,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Sailing']
1878613,TRUE,LIA Nicholas,LIA N,Nicholas LIA,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Swimming']
